proteinA_entrezid,proteinB_entrezid,databases
2908,23221,encode
2908,4580,innatedb
627,51763,instruct|APID|biogrid|HINT-binary|intact
10422,27185,intact
3350,9568,inweb
989,27185,intact
2908,11244,pina|APID|intact
2670,2670,interactome3d|instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary|intact
2908,3326,APID|biogrid
2908,79171,encode
218,2908,encode
554,1312,intact|hiunion
1312,9869,encode
2932,219681,signalink
808,2908,APID|HIPPIE
2908,3855,encode
1634,7124,inweb
2908,3939,encode
857,3358,bioplex
4926,27185,intact
5914,9575,pina|APID|litbm17|biogrid
27185,375248,intact
2908,8364,encode
2908,79026,encode
3357,3358,intact
2932,9774,PhosphoSP|KinomeNetX
1312,54831,intact|hiunion
27185,79165,hiunion
9782,27185,instruct|APID|biogrid|HIPPIE|intact|pina
892,4747,instruct|hiunion|APID|biogrid|HINT-binary
10075,27185,intact
2908,3660,innatedb
2908,6774,inweb|HIPPIE|HINT-complex
9659,27185,intact
1477,2908,encode
2908,554226,encode
4524,79400,bioplex
7124,9425,bioplex|HIPPIE
6009,7124,bioplex|HIPPIE
8408,27185,intact
8518,27185,intact
2908,8140,encode
5430,7124,innatedb|inweb
8924,27185,instruct|APID|HIPPIE|intact|pina
27185,80279,instruct|APID|biogrid|HIPPIE|intact|pina
2289,400073,APID|intact|instruct
2908,283149,encode
5782,27185,intact
1813,51090,mint|intact
2932,57662,instruct|APID|biogrid|mint|intact|pina
2932,10724,instruct|APID|biogrid|mint|intact|pina
27185,55577,intact
4684,7905,bioplex
2908,93436,signalink
2908,116936,encode
3356,5536,pina|APID|intact
3163,3358,bioplex
7534,27185,instruct|APID|biogrid|HIPPIE|intact|pina
2194,2908,encode
4915,50943,signalink
22930,27185,intact
1813,79971,mint|intact
3358,57515,bioplex
27185,54545,intact
2908,64207,encode
4804,4915,HIPPIE
2908,23765,bioplex
356,2908,inweb
2932,6256,PhosphoSP|instruct|APID|biogrid|mint|intact|pina
3350,3352,inweb
9467,27185,instruct|APID|biogrid|HIPPIE|intact|pina
4524,81789,bioplex
2908,10575,encode
3358,286148,bioplex
2908,115708,encode
207,2908,PhosphoSP|inweb
2289,4342,instruct|APID|HIPPIE|intact|litbm17|bioplex
2915,5590,APID|intact|HIPPIE
2113,2908,signalink|HIPPIE
2289,5129,bioplex|HIPPIE
1813,51310,mint|intact
1813,55973,mint|intact
2932,9949,inweb
2932,58526,instruct|APID|biogrid|mint|intact|pina
2932,163183,instruct|APID|biogrid|mint|intact|pina
805,2915,HIPPIE
2670,343263,intact|hiunion
1063,27185,intact
7422,65062,hiunion
5315,27185,intact
23312,27185,intact
2932,4552,qubic
